Where did you meet Joey?,In NY city. He is my roommate
How do you know Monica?,She's my friend Ross's little sister
How do you know Ross?,We studied together
How do you know Rachel?,Through Monica
What is Rachel's last name?,Greene
Who is Ross's dad?,Monica's dad
Who is Monica's dad?,Ross's dad!
What is Ross's dad's name?,Same as Monica's dad's
What is Monica's dad's name? ,Same as Ross's dad's
What is Ross's last name?,Same as Monica's
What is Monica's last name?,Same as Ross's
How do you know Phoebe?,Through Monica.
Why was Phoebe always cleaning everyone's aura?,Because they were dirty! :D
What does Phoebe do?,Plays and sings annoying songs
What does Rachel do?,Some kind of fashion thingy
What does Ross do?,Plays with dinosaurs and studies about things that have been dead for million years
What does Monica do?,Cleans….cleans everything…cleans everywhere…cleans all the time!
What does Joey do?,Eat like there is no tomorrow…wait..like there is no next minute :/
Does Joey have siblings?,Don't ask me about that…I don’t want to get punched again
Do you know Janice?,OH MY GAWDDD! How do you know her!!?
